GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
6723,1334.359899,0.121927685,0.101033802,1.206800921,0.227508821,0.434443044
5394,2369.09055,0.019126062,0.080730228,0.236913267,0.812724078,0.902254682
105376736,38.37119748,0.216358363,0.142466149,1.518665061,0.128846825,0.303051502
2475,2329.887164,0.12223342,0.086404339,1.414667603,0.157165977,0.343979139
100873935,24.09143745,0.089018237,0.220492279,0.403724961,0.686414982,0.82637423
10218,20.09175364,-0.68188901,0.388404042,-1.755617696,0.079153709,0.220359747
29914,482.5486986,0.029955018,0.100493609,0.298078837,0.765642993,0.874560027
105376737,0.645082988,1.619985013,0.898638239,1.802710972,0.071433618,0.206197896
105376739,0.349549506,0.118446766,0.953709616,0.124195839,0.901160216,NA
105376740,4.29940746,0.746516564,0.316845437,2.356090622,0.018468412,0.081207557
57540,376.6598526,0.194674986,0.144285728,1.349232446,0.177262316,0.371905691
112268221,24.60166205,0.241607407,0.199997978,1.208049252,0.227028318,0.433865552
101929181,0.543012868,0.796522822,0.899918487,0.885105522,0.376099722,0.589419531
26232,5477.173525,-0.263795748,0.13355364,-1.975204483,0.048244947,0.15871725
93611,6000.335498,0.093434784,0.10047611,0.929920392,0.352412304,0.566095451
26270,297.197562,-0.048899728,0.078103638,-0.626087715,0.53125741,0.718433335
10459,536.3445479,-0.218058106,0.112317312,-1.941446975,0.052204085,0.167070414
374946,83.44081064,0.011816423,0.191958695,0.061557112,0.950915532,0.97562059
57085,262.1671793,-0.058942944,0.203363222,-0.289840727,0.771938089,0.879106705
284498,179.7204335,0.452828773,0.149303272,3.032946076,0.002421789,0.0189502
102724659,0.014234149,0.113397685,3.225584499,0.035155701,0.971955586,NA
4524,1059.272688,0.121294588,0.069368032,1.748566076,0.080366055,0.222471046
1185,2876.029604,0.090314819,0.070976923,1.272453286,0.203212112,0.40501127
100379251,285.9648148,0.162372093,0.15165106,1.070695407,0.284306408,0.498667759
4878,62.4298415,-0.103810308,0.171810087,-0.604215445,0.545700414,0.729168449
4879,3.002343889,0.873444375,0.470233134,1.857470927,0.063244184,0.190447104
26829,0.423176806,-1.635869928,0.934844786,-1.749883994,0.080138333,NA
90231,1200.675122,0.085884727,0.093099399,0.92250571,0.356264853,0.570147111
5351,1404.760971,-0.270711755,0.114768612,-2.358761255,0.018336048,0.080768426
9927,5236.398812,0.237457679,0.060758575,3.908216724,9.30E-05,0.00171426
60672,674.1388604,-0.051917758,0.132155144,-0.392854616,0.694426863,0.831735486
102466982,1.936929812,-0.306455951,0.358520879,-0.854778533,0.392673765,0.605274573
943,4.017618095,-0.859256228,0.469485652,-1.830207641,0.067218896,0.198154548
102465836,0.607869595,2.047270882,0.740628825,2.76423333,0.005705672,0.03501538
7133,421.8844618,-0.756560993,0.234655669,-3.224132599,0.001263549,0.011893329
100616438,0.190672201,-0.194948981,1.627422705,-0.119790009,0.904649496,NA
107984917,1.229782637,-1.140938998,0.541607565,-2.10657877,0.035154109,0.127842302
55187,4143.784916,0.136491558,0.089732847,1.521088007,0.128237754,0.302100994
677885,18.05344396,0.382786364,0.217418572,1.760596441,0.078306732,0.21872327
105376744,5.539463877,-0.379103233,0.304746609,-1.243994917,0.213501434,0.417091723
9249,770.7543483,-0.700410668,0.179140233,-3.909845691,9.24E-05,0.001704788
102466722,1.82682187,-1.321762739,0.514294578,-2.570049919,0.010168386,0.052701143
343066,0.223905275,-0.074424913,1.376923835,-0.054051583,0.956894067,NA
126767,0.079684123,-0.463667898,2.826389514,-0.164049539,0.869692145,NA
93190,0.822696378,-1.313449379,0.821895996,-1.598072489,0.110026846,0.273505332
390999,0.018627445,-0.030869252,3.225584499,-0.009570127,0.99236426,NA
65121,0.029625043,-0.234021088,3.225584499,-0.072551529,0.942162999,NA
105376745,0.01300948,-0.089754151,3.225584499,-0.027825701,0.977801167,NA
440560,0.034185442,-0.234021088,3.225584499,-0.072551529,0.942162999,NA
343069,0.756111721,-0.384370894,0.592475807,-0.648753737,0.516497565,0.70671269
65122,0.042054928,-0.175136189,3.225584499,-0.054295954,0.956699373,NA
400735,0.076932545,0.349161783,3.225582398,0.108247671,0.913799231,NA
343071,0.01935984,0.172282584,3.225584499,0.053411276,0.957404221,NA
441871,0.061248058,0.290052383,3.225584499,0.089922426,0.92834886,NA
440561,0.044426269,0.290052383,3.225584499,0.089922426,0.92834886,NA
101929983,0.015386509,0.113397685,3.225584499,0.035155701,0.971955586,NA
649330,0.061286578,0.145791675,2.639860999,0.055227027,0.955957597,NA
441873,0.042716813,-0.378288025,3.225584499,-0.117277357,0.906640268,NA
649324,0.035436692,0.028015647,3.225584499,0.008685448,0.993070102,NA
440563,0.29083842,1.156355573,1.327379194,0.871156922,0.383668478,NA
645354,0.023006806,-0.030869252,3.225584499,-0.009570127,0.99236426,NA
645359,0.058103322,-0.319403126,3.225584499,-0.099021782,0.921120975,NA
101060301,0.028940755,0.172282584,3.225584499,0.053411276,0.957404221,NA
343070,0,NA,NA,NA,NA,NA
400736,0,NA,NA,NA,NA,NA
391003,0.064372165,0.145788367,2.965324186,0.049164394,0.960788286,NA
343068,0,NA,NA,NA,NA,NA
391002,0.061248058,0.290052383,3.225584499,0.089922426,0.92834886,NA
645382,0.00967992,0.113397685,3.225584499,0.035155701,0.971955586,NA
653619,0,NA,NA,NA,NA,NA
729528,0.031129351,-0.234021088,3.225584499,-0.072551529,0.942162999,NA
645414,0.207970781,0.940974786,1.506080414,0.624783894,0.532112903,NA
391004,0.127960198,-0.866919776,3.224969322,-0.268814891,0.788072134,NA
645425,0.051180442,-0.175136189,3.225584499,-0.054295954,0.956699373,NA
126755,48.1284799,0.012900403,0.232700008,0.055437916,0.95578959,0.978073749
102724856,0.327568533,-0.560180966,0.962167931,-0.582207064,0.560427216,NA
107984918,3.366318054,1.120304687,0.426352492,2.627648973,0.008597719,0.046900015
10630,288.0151818,-0.089236725,0.206340601,-0.432472933,0.66539772,0.812857347
107984919,1.133501306,0.03373163,0.704983285,0.047847418,0.961837845,0.981302419
105378612,0.638513785,0.863943668,0.840437476,1.027968995,0.303964412,0.518711301
105376756,0.549259637,0.210738317,0.799347987,0.263637766,0.792059055,0.890209452
